Year,Flood,Landslide,Storm,Wildfire
1980,3,0,3,0
1981,1,0,3,0
1982,2,0,11,0
1983,2,0,6,0
1984,3,0,11,0
1985,5,0,10,0
1986,3,0,2,0
1987,0,0,8,0
1988,3,0,18,0
1989,0,0,16,0
1990,4,0,15,0
1991,14,0,17,2
1992,0,0,27,2
1993,6,0,20,1
1994,1,1,9,3
1995,5,0,10,0
1996,4,0,9,1
1997,8,0,23,2
1998,7,0,20,4
1999,1,0,16,3
2000,8,0,12,7
2001,5,0,17,3
2002,4,0,15,8
2003,4,1,14,3
2004,4,0,12,3
2005,6,0,8,1
2006,11,0,12,3
2007,6,0,13,3
2008,4,0,14,2
2009,4,0,10,2
2010,3,0,12,0
2011,4,0,14,3
2012,1,0,19,2
2013,7,0,15,5
2014,2,1,13,1
2015,5,0,19,4
2016,6,0,16,4
2017,3,0,17,3
2018,3,1,11,3
2019,4,0,14,2
2020,2,0,19,1
2021,12,0,23,6
2022,3,0,17,4
