Wavelength (nm), Intensity (J/m2/s/nm)
150,35.896
155,129.182
160,233.774
165,362.516
170,1621.435
175,14948.857
180,22297.642
185,15209.252
190,28580.16
195,33392.665
200,35515.634
205,42744.276
210,55026.547
215,68531.98
220,74876.707
225,63846.929
230,66549.032
235,44430.048
240,32561.076
245,70548.288
250,62279.274
255,43202.772
260,53841.566
265,117107.626
270,95321.99
275,59662.451
280,25546.807
285,85920.977
290,124092.959
295,129301.907
300,141984.533
305,146671.722
310,150908.884
315,149336.952
320,142615.15
325,147673.443
330,159375.576
335,155969.651
340,153171.226
345,155798.271
350,159400.694
355,166636.931
360,151050.646
365,164162.123
370,160986.955
375,170424.106
380,217796.749
385,235104.458
390,221665.151
395,223989.903
400,269291.819
405,272628.319
410,231111.592
415,279201.159
420,274280.656
425,269390.336
430,246701.154
435,213684.864
440,260286.417
445,259381.756
450,266572.381
455,258666.488
460,258314.225
465,256915.894
470,246239.53
475,252894.63
480,246937.773
485,209678.22
490,231670.622
495,234659.398
500,221654.676
505,224821.437
510,224331.643
515,214778.834
520,208496.754
525,212718.024
530,210947.414
535,205887.045
540,201207.605
545,202511.585
550,198638.059
555,197190.615
560,191821.745
565,190977.458
570,187297.573
575,186274.83
580,183751.559
585,180946.889
590,176088.841
595,175811.453
600,171931.464
605,170279.215
610,166485.107
615,160748.163
620,161883.997
625,155689.388
630,156142.992
635,152933.728
640,150632.388
645,147391.474
650,144446.724
655,128390.781
660,138629.422
665,139715.346
670,138101.042
675,135378.6
680,133694.706
685,131181.476
690,129722.757
695,127655.111
700,124867.213
705,123654.209
710,121098.449
715,119059.322
720,116753.415
725,115659.29
730,113463.151
735,112533.44
740,109423.567
745,108307.621
750,106965.871
755,105990.385
760,104154.912
765,102440.142
770,100706.901
775,98961.904
780,98337.822
785,96241.995
790,95005.031
795,93121.026
800,92367.655
805,90857.391
810,89683.29
815,88750.058
820,86077.347
825,85397.995
830,84565.037
835,83239.7
840,82207.753
845,80379.657
850,77959.634
855,73545.96
860,76419.443
865,74337.862
870,75101.229
875,71043.828
880,74339.182
885,69910.247
890,71936.497
895,72022.084
900,66261.471
905,69090.997
910,68019.772
915,68698.517
920,65730.738
925,61904.587
930,65912.853
935,65278.677
940,63304.596
945,63028.467
950,62098.957
955,54436.179
960,60224.078
965,59578.265
970,59195.981
975,58465.321
980,57899.846
985,56993.981
990,55924.077
995,55530.96
1000,53853.294
1005,50948.394
1010,51312.263
1015,52397.466
1020,51968.387
1025,51560.278
1030,50839.188
1035,50107.104
1040,49565.832
1045,48695.35
1050,48000.055
1055,47568.478
1060,46949.567
1065,45909.009
1070,45174.11
1075,44935.547
1080,44241.694
1085,43493.094
1090,41077.342
1095,39921.406
1100,41522.264
1105,42022.038
1110,41630.863
1115,41067.22
1120,40643.969
1125,39925.877
1130,39185.591
1135,38900.996
1140,38437.953
1145,38117.521
1150,37943.434
1155,37453.422
1160,36751.662
1165,36045.985
1170,35906.379
1175,35458.763
1180,34798.258
1185,34452.602
1190,34319.291
