wavelength, flux 
380,0.483
380.1,0.569
380.2,0.649
380.3,0.72
380.4,0.782
380.5,0.832
380.6,0.878
380.7,0.91
380.8,0.943
380.9,0.966
381,0.983
381.1,0.998
381.2,1.008
381.3,1.015
381.4,0.995
381.5,1.017
381.6,1.005
381.7,1.021
381.8,1.02
381.9,1.015
382,0.985
382.1,0.991
382.2,0.973
382.3,0.968
382.4,0.944
382.5,0.885
382.6,0.877
382.7,0.843
382.8,0.804
382.9,0.748
383,0.703
383.1,0.636
383.2,0.55
383.3,0.481
383.4,0.398
383.5,0.297
383.6,0.324
383.7,0.416
383.8,0.483
383.9,0.573
384,0.641
384.1,0.701
384.2,0.76
384.3,0.805
384.4,0.843
384.5,0.856
384.6,0.898
384.7,0.922
384.8,0.916
384.9,0.951
385,0.93
385.1,0.971
385.2,0.982
385.3,0.987
385.4,0.931
385.5,0.995
385.6,0.893
385.7,0.998
385.8,0.999
385.9,0.999
386,0.984
386.1,0.997
386.2,0.99
386.3,0.912
386.4,0.987
386.5,0.994
386.6,0.978
386.7,0.987
386.8,0.986
386.9,0.983
387,0.976
387.1,0.971
387.2,0.962
387.3,0.926
387.4,0.945
387.5,0.933
387.6,0.918
387.7,0.9
387.8,0.874
387.9,0.848
388,0.824
388.1,0.789
388.2,0.745
388.3,0.697
388.4,0.641
388.5,0.577
388.6,0.506
388.7,0.433
388.8,0.354
388.9,0.266
389,0.346
389.1,0.426
389.2,0.5
389.3,0.57
389.4,0.634
389.5,0.69
389.6,0.737
389.7,0.783
389.8,0.815
389.9,0.843
390,0.862
390.1,0.829
390.2,0.911
390.3,0.918
390.4,0.926
390.5,0.941
390.6,0.917
390.7,0.962
390.8,0.965
390.9,0.969
391,0.979
391.1,0.981
391.2,0.985
391.3,0.963
391.4,0.97
391.5,0.986
391.6,0.993
391.7,0.994
391.8,0.991
391.9,0.974
392,0.996
392.1,0.969
392.2,0.996
392.3,0.991
392.4,0.999
392.5,0.994
392.6,0.999
392.7,0.999
392.8,0.998
392.9,0.999
393,0.984
393.1,0.999
393.2,0.994
393.3,0.989
393.4,0.88
393.5,0.998
393.6,0.972
393.7,0.996
393.8,0.974
393.9,0.967
394,0.993
394.1,0.99
394.2,0.988
394.3,0.987
394.4,0.967
394.5,0.972
394.6,0.98
394.7,0.968
394.8,0.968
394.9,0.967
395,0.963
395.1,0.957
395.2,0.948
395.3,0.943
395.4,0.928
395.5,0.921
395.6,0.91
395.7,0.892
395.8,0.879
395.9,0.858
396,0.833
396.1,0.791
396.2,0.759
396.3,0.729
396.4,0.683
396.5,0.625
396.6,0.569
396.7,0.504
396.8,0.419
396.9,0.352
397,0.267
397.1,0.348
397.2,0.424
397.3,0.495
397.4,0.553
397.5,0.62
397.6,0.677
397.7,0.724
397.8,0.764
397.9,0.797
398,0.827
398.1,0.855
398.2,0.862
398.3,0.892
398.4,0.907
398.5,0.92
398.6,0.929
398.7,0.939
398.8,0.949
398.9,0.955
399,0.961
399.1,0.963
399.2,0.961
399.3,0.973
399.4,0.974
399.5,0.976
399.6,0.98
399.7,0.981
399.8,0.979
399.9,0.985
400,0.989
400.1,0.991
400.2,0.959
400.3,0.945
400.4,0.991
400.5,0.989
400.6,0.99
400.7,0.995
400.8,0.993
400.9,0.996
401,0.996
401.1,0.997
401.2,0.984
401.3,0.99
401.4,0.998
401.5,0.989
401.6,0.99
401.7,0.998
401.8,0.998
401.9,0.999
402,0.999
402.1,0.999
402.2,0.997
402.3,0.996
402.4,0.993
402.5,0.974
402.6,0.997
402.7,0.998
402.8,0.957
402.9,0.98
403,0.998
403.1,0.995
403.2,0.997
403.3,0.983
403.4,0.998
403.5,0.983
403.6,0.996
403.7,1
403.8,0.993
403.9,1
404,0.999
404.1,0.999
404.2,0.998
404.3,0.999
404.4,0.989
404.5,0.999
404.6,0.977
404.7,0.998
404.8,0.999
404.9,0.98
405,0.998
405.1,0.996
405.2,0.992
405.3,0.997
405.4,0.988
405.5,0.997
405.6,0.996
405.7,0.986
405.8,0.992
405.9,0.996
406,0.995
406.1,0.994
406.2,0.986
406.3,0.992
406.4,0.978
