wavelength, flux 
380,0.23
380.1,0.47
380.2,0.365
380.3,0.496
380.4,0.568
380.5,0.326
380.6,0.339
380.7,0.157
380.8,0.37
380.9,0.406
381,0.521
381.1,0.351
381.2,0.458
381.3,0.311
381.4,0.313
381.5,0.2
381.6,0.087
381.7,0.273
381.8,0.23
381.9,0.237
382,0.085
382.1,0.106
382.2,0.177
382.3,0.235
382.4,0.106
382.5,0.107
382.6,0.08
382.7,0.153
382.8,0.106
382.9,0.142
383,0.205
383.1,0.212
383.2,0.098
383.3,0.136
383.4,0.085
383.5,0.171
383.6,0.233
383.7,0.197
383.8,0.101
383.9,0.136
384,0.131
384.1,0.095
384.2,0.244
384.3,0.238
384.4,0.262
384.5,0.298
384.6,0.307
384.7,0.226
384.8,0.316
384.9,0.246
385,0.132
385.1,0.229
385.2,0.296
385.3,0.23
385.4,0.179
385.5,0.225
385.6,0.097
385.7,0.158
385.8,0.134
385.9,0.098
386,0.052
386.1,0.107
386.2,0.236
386.3,0.273
386.4,0.25
386.5,0.239
386.6,0.192
386.7,0.238
386.8,0.195
386.9,0.212
387,0.183
387.1,0.099
387.2,0.156
387.3,0.197
387.4,0.325
387.5,0.285
387.6,0.332
387.7,0.273
387.8,0.106
387.9,0.144
388,0.221
388.1,0.252
388.2,0.181
388.3,0.121
388.4,0.474
388.5,0.284
388.6,0.08
388.7,0.131
388.8,0.298
388.9,0.215
389,0.356
389.1,0.419
389.2,0.56
389.3,0.352
389.4,0.436
389.5,0.291
389.6,0.201
389.7,0.573
389.8,0.284
389.9,0.346
390,0.164
390.1,0.475
390.2,0.387
390.3,0.21
390.4,0.354
390.5,0.33
390.6,0.22
390.7,0.306
390.8,0.502
390.9,0.513
391,0.432
391.1,0.44
391.2,0.549
391.3,0.553
391.4,0.387
391.5,0.579
391.6,0.383
391.7,0.415
391.8,0.443
391.9,0.284
392,0.167
392.1,0.193
392.2,0.271
392.3,0.126
392.4,0.355
392.5,0.337
392.6,0.252
392.7,0.267
392.8,0.108
392.9,0.179
393,0.099
393.1,0.131
393.2,0.123
393.3,0.081
393.4,0.06
393.5,0.113
393.6,0.125
393.7,0.176
393.8,0.184
393.9,0.263
394,0.302
394.1,0.259
394.2,0.314
394.3,0.283
394.4,0.141
394.5,0.272
394.6,0.509
394.7,0.393
394.8,0.313
394.9,0.343
395,0.376
395.1,0.513
395.2,0.509
395.3,0.305
395.4,0.585
395.5,0.503
