Star ID,V (mag),B-V color (mag),Parallax (milliarcsec),Parallax Uncertainty (milliarcsec)
2.00,4.61,1.04,13.5,149.0
3.00,8.45,1.05,71.7,113.0
4.00,9.01,1.44,88.6,23.0
6.00,8.60,0.94,14.7,55.0
7.00,6.43,0.64,45.5,50.0
7.00,5.96,0.67,45.5,50.0
8.00,5.70,0.52,49.5,97.0
8.00,5.69,0.52,49.5,97.0
9.00,6.13,0.75,66.4,63.0
9.01,13.74,1.99,213.0,36.0
9.11,14.17,1.49,53.5,25.0
10.00,8.37,0.65,7.5,119.0
11.00,8.70,0.80,39.2,150.0
11.01,13.07,1.52,44.0,63.0
12.00,2.06,-0.11,27.0,79.0
13.00,6.19,0.48,46.2,72.0
16.00,2.27,0.34,69.5,66.0
16.10,11.80,1.48,57.5,101.0
17.00,7.01,0.92,32.7,105.0
17.02,13.73,1.39,19.3,30.0
18.00,5.42,0.42,21.3,149.0
18.00,6.12,0.44,21.3,149.0
19.00,3.88,1.03,64.5,161.0
22.01,10.87,1.45,8.5,190.0
23.00,7.96,0.75,30.7,84.0
24.00,4.89,0.49,65.8,149.0
25.00,9.91,1.06,28.8,117.0
26.00,8.35,0.62,49.5,150.0
27.00,5.25,0.44,32.2,137.0
27.01,14.36,0.42,90.6,37.0
29.01,13.27,1.52,28.3,24.0
30.00,7.95,0.95,21.5,150.0
32.00,13.06,1.60,45.8,51.0
32.10,9.00,1.36,21.9,150.0
34.00,5.72,0.31,24.1,111.0
34.01,15.34,0.21,32.9,48.0
36.00,8.37,0.63,32.8,92.0
36.01,15.90,0.58,51.3,38.0
37.00,5.12,1.62,2.5,86.0
38.00,4.80,1.57,14.1,98.0
39.00,4.44,1.66,27.2,173.0
40.00,6.60,-0.02,9.6,106.0
40.01,11.53,1.74,182.1,68.0
42.00,12.54,1.66,86.6,134.0
42.11,12.26,1.55,66.1,16.0
45.00,8.94,1.42,68.1,39.0
45.01,13.79,1.62,56.9,37.0
46.00,6.85,0.64,67.4,150.0
47.00,4.61,0.06,19.1,98.0
48.00,7.96,0.66,32.8,84.0
48.01,6.66,0.60,1.6,133.0
48.02,12.49,1.57,46.5,120.0
48.03,13.95,1.49,28.4,35.0
48.04,10.99,1.46,36.5,120.0
49.00,8.07,1.56,282.0,22.0
50.00,6.50,0.59,28.8,70.0
51.00,4.52,0.05,19.3,125.0
51.01,10.88,1.52,35.9,120.0
52.00,6.46,0.68,47.5,115.0
53.00,3.56,1.22,11.6,23.0
53.01,15.37,-0.12,30.0,94.0
54.00,4.23,0.58,140.8,105.0
54.01,16.05,1.98,79.3,37.0
55.00,5.18,0.42,15.6,72.0
56.00,5.51,-0.05,10.1,127.0
57.00,10.40,1.48,50.5,69.0
58.00,5.18,1.00,25.9,161.0
60.00,8.94,0.68,11.1,93.0
61.00,8.30,0.90,47.3,113.0
61.01,11.24,1.50,62.8,40.0
62.00,6.39,0.66,41.9,35.0
63.00,8.41,1.57,29.0,128.0
64.00,9.84,0.84,15.3,110.0
64.10,11.88,1.48,15.1,173.0
64.11,14.27,1.59,61.0,41.0
65.10,5.40,0.00,15.3,111.0
