RA (deg), DEC (deg), R (mag),observed wavelength (nm)
195.2758,27.39783,15.84,674.048
195.06515,27.25667,17.73,671.896
195.02617,27.30071,15.15,673.516
194.90563,27.33605,16.01,671.555
195.1285,27.30018,17.77,673.116
195.20801,27.40578,13.93,670.716
195.04667,27.46008,17.63,671.267
195.13978,27.50412,16.12,668.506
195.1119,27.51559,15.03,673.32
195.07959,27.55372,14.68,669.181
195.10492,27.55226,16.44,672.198
195.14865,27.57423,15.13,667.45
194.63807,27.36437,14.76,671.536
194.58554,27.42938,16.93,672.802
194.48551,27.38229,16.75,667.705
194.52527,27.41893,16.25,668.906
194.44061,27.42934,16.25,674.54
194.48626,27.4426,17.45,673.143
194.50314,27.45399,16.64,673.103
194.5065,27.48967,14.42,672.979
194.46148,27.49086,17.42,672.382
194.47651,27.49063,15,667.194
194.35149,27.49782,12.46,672.356
194.39939,27.49324,13.91,672.296
194.40055,27.48481,15.05,672.126
194.3482,27.54994,17.1,669.509
194.35767,27.54613,14.61,668.479
194.37746,27.54303,16.75,673.038
194.43013,27.57759,16.26,672.113
194.8071,27.40257,14.38,668.67
194.83459,27.43524,17.3,673.136
194.85245,27.51734,17.21,669.188
194.65762,27.46395,15.84,670.014
194.6336,27.45633,15.06,671.66
194.77632,27.49363,17.67,674.159
194.82687,27.51351,16.11,669.516
194.91587,27.57647,15.75,667.259
195.04338,27.595,15.59,668.538
195.09325,27.62355,16.24,672.933
195.02605,27.68529,15.36,672.808
194.82726,27.59359,16.65,667.738
194.79294,27.61986,15.22,668.86
194.92215,27.65983,15.04,671.063
194.88365,27.72046,17.61,673.097
194.94645,27.7103,13.81,674.651
194.94283,27.74625,17.51,677.557
194.66004,27.5441,15.26,669.358
194.54041,27.54942,16.46,671.562
194.54861,27.54248,17.19,671.877
194.61837,27.55938,15.59,672.867
194.7421,27.5947,14.92,669.45
194.64661,27.59641,13.5,673.116
194.6975,27.67472,13.74,674.638
194.52844,27.57688,16.34,672.703
194.48429,27.58135,15.82,667.155
194.46067,27.64373,16.79,671.201
194.51466,27.68245,16.4,672.126
194.63167,27.67349,15.59,671.431
194.57992,27.76207,15.93,668.224
194.77206,27.6444,14.31,668.191
194.82647,27.71573,16.74,670.9
194.78121,27.76777,14.65,670.217
194.85388,27.73883,15.06,669.496
194.90762,27.77682,15.41,671.182
194.86377,27.78505,16.79,670.696
194.87771,27.79142,15.58,673.293
194.80624,27.77459,14.42,671.234
194.78417,27.78412,13.93,671.68
194.77853,27.77246,16.48,669.962
194.87253,27.85016,14.44,671.149
194.68976,27.75388,16.7,670.795
194.7401,27.78543,15.49,671.483
194.71706,27.78505,14.52,668.67
194.72106,27.81343,15.57,668.381
194.72765,27.79562,16.45,670.454
194.70303,27.81044,13.95,669.247
194.659,27.82258,17.34,668.099
194.66972,27.82692,16.33,669.798
194.73309,27.83337,14.16,672.762
194.73587,27.82199,16.65,675.353
194.83406,27.88599,15.18,670.48
194.7831,27.85496,14.45,670.683
194.79017,27.86739,16.29,671.424
194.81092,27.89559,17.32,670.322
194.68941,27.87996,17.67,674.822
194.69214,27.86087,17.67,675.497
194.76932,27.91098,15.25,670.309
194.78781,27.89755,16.83,673.451
194.74781,27.93452,16.53,668.879
195.41895,27.54893,17.67,670.519
195.53903,27.58936,16.99,670.421
195.53283,27.6483,14.28,671.391
195.3012,27.60448,15.48,672.821
195.44683,27.62179,16.54,673.339
195.45156,27.60396,15.24,674.303
195.24324,27.65209,14.78,667.692
195.14029,27.63775,14.81,672.67
195.31334,27.66922,16.45,671.752
195.27423,27.70888,17.75,675.405
195.29675,27.74251,17.39,672.421
195.47388,27.62445,12.76,673.49
195.50432,27.65297,14.99,671.811
195.51808,27.69955,16.85,671.628
195.40216,27.70793,16.71,673.608
195.4512,27.72845,17.48,668.296
195.52503,27.76512,17.01,672.133
195.50059,27.78271,14.91,671.87
195.32332,27.80907,13.66,672.27
195.38252,27.8475,13.46,668.25
195.45926,27.89354,14.52,672.815
195.64496,27.94911,14.75,668.945
195.63282,27.93554,15.81,670.781
195.60429,27.97226,17.29,674.284
195.11521,27.62521,16.46,669.148
195.12469,27.77025,17.28,674.585
195.13548,27.76614,15.41,670.9
195.2129,27.74299,16.8,674.094
195.18836,27.74702,17.56,676.717
195.23359,27.79085,12.95,673.739
195.2255,27.7837,15.06,674.454
195.21875,27.80496,17.7,671.247
195.22821,27.84201,16.25,671.798
195.1891,27.83549,16.91,675.497
195.00621,27.73126,16.52,673.956
195.02621,27.77576,14.7,669.817
195.03358,27.77332,16.9,675.268
195.05261,27.78182,15.49,671.628
195.07314,27.78442,16.85,671.549
195.07739,27.81552,16.23,668.033
194.9838,27.74631,16.17,675.818
194.9786,27.796,16.07,674.343
195.02293,27.8076,14.74,670.683
195.13902,27.82424,15.81,674.238
195.08404,27.84349,16.9,673.516
195.03809,27.86648,15.48,667.928
195.04265,27.86395,15.94,678.016
195.05681,27.86718,16.14,672.487
195.09029,27.89854,16.65,666.964
195.10343,27.92662,16.55,673.7
195.28848,27.8183,14.9,669.253
195.29461,27.80289,14.84,670.939
195.3305,27.86046,17.02,674.277
195.35885,27.88597,12.71,668.269
195.24691,27.89982,14.46,671.372
195.30679,27.91425,15.57,669.096
195.2701,27.89174,16.52,668.998
195.39103,27.9111,16.72,670.657
195.3686,27.92654,16.71,672.769
195.33329,27.96102,17.59,673.53
195.3631,27.9992,15.61,673.024
195.23305,27.8985,16.39,669.47
195.19752,27.92216,15.09,675.038
195.16567,27.92393,14.01,672.71
195.14345,27.93469,16.7,675.471
195.17848,27.96308,14.72,674.723
195.14759,27.94274,16.71,671.549
195.17813,27.97126,13.93,670.244
195.22691,28.00763,13.05,667.2
195.1702,27.9966,14.43,671.805
195.28931,28.03312,16.1,671.667
195.30693,28.08312,16.93,669.004
195.27356,28.06206,17.18,672.559
194.9625,27.83295,16.4,673.575
194.90404,27.8258,16.22,669.988
194.94217,27.85723,14.82,674.002
194.89702,27.86363,16.52,670.067
194.91709,27.85494,15.72,664.61
194.91449,27.8546,16.19,676.855
194.93422,27.86768,16.45,669.949
194.87843,27.88421,14.1,666.604
194.88288,27.8613,16.98,666.499
194.93623,27.88976,17.06,671.195
194.95877,27.92484,15.93,677.812
194.95909,27.91264,17.48,672.152
194.90795,27.90732,14.55,673.818
194.92627,27.92473,15.27,671.411
194.93502,27.91246,14.17,670.959
195.02367,27.92646,17.74,673.7
195.07823,27.93704,15.44,667.856
195.04312,27.95907,17.51,670.145
195.06883,27.96751,14.6,666.446
195.0754,27.95657,14.65,670.231
194.98605,27.93003,15.05,673.162
194.99779,27.94057,17.25,669.66
195.00404,27.94543,16.88,671.267
195.01561,27.96471,16.4,667.961
195.03386,27.97694,11.52,670.401
195.02544,27.9783,14.18,672.998
195.03114,27.95807,17.07,669.889
195.0185,27.98758,13.95,670.237
195.02661,28.00412,15.85,672.205
195.02246,28.02444,15.43,669.214
194.84426,27.89687,15.21,667.574
194.84755,27.91957,17.66,671.457
194.85557,27.93449,16.87,672.9
194.89216,27.94684,14.28,672.008
194.91523,27.95391,15.48,673.871
194.91779,27.96823,15.66,672.874
194.93418,27.95841,15.83,671.405
194.87484,27.95643,13.97,671.168
194.88663,27.9836,14.05,669.043
194.89877,27.95926,11.99,671.982
194.83215,27.9735,16.77,672.126
194.81353,27.97073,14.36,666.846
194.80461,27.97698,15.82,671.136
194.83921,27.97356,16.37,669.555
194.85619,27.9732,15.3,669.634
194.85553,27.96793,15.45,673.162
194.8608,27.99847,15.57,670.886
194.85436,27.99673,16.88,668.289
194.94491,27.97385,14.64,676.907
194.94555,27.99191,17.57,674.704
194.93218,27.99468,14.94,670.893
194.90965,27.98719,15.1,671.214
194.98338,28.03472,14.01,674.133
194.99005,28.0651,16.61,669.076
194.881,28.0466,14.4,671.437
194.86968,28.04051,15.44,668.604
194.96566,28.09853,16.41,673.031
194.96442,28.07348,16.33,672.69
194.94904,28.09789,17.75,670.244
195.11653,27.95597,15.08,671.621
195.11829,27.97239,14.8,673.182
195.1615,28.01453,14.66,672.926
195.17164,28.04512,17.34,675.169
195.15775,28.05797,14.99,673.044
195.07867,28.00931,17.05,669.863
195.09223,28.04701,14.37,674.185
195.06143,28.0413,14.67,668.84
195.05593,28.05329,17.58,674.113
195.07094,28.06391,15.27,669.726
195.07643,28.05929,17.45,678.107
195.12898,28.10839,17.22,667.633
195.21315,28.04714,15.85,670.178
195.2027,28.09074,13.85,671.542
195.18598,28.10064,15.32,670.736
195.14822,28.14613,14.74,668.25
195.20333,28.15834,13.29,669.004
195.03329,28.07857,14.6,672.133
195.0536,28.0755,14.95,672.716
195.04641,28.06525,16.99,672.395
195.07727,28.09715,16.7,673.405
194.97955,28.12836,15.07,672.847
195.03798,28.17039,14.7,671.07
195.03636,28.15985,15.49,672.624
195.01769,28.15511,17.11,670.677
195.12579,28.16005,17.37,671.765
195.0747,28.2024,13.01,674.953
195.13527,28.25605,16.72,670.047
195.09245,28.24709,16.88,672.749
195.48989,28.00584,13.34,673.188
195.40552,28.01577,17.05,671.936
195.4459,28.095,14.09,668.991
195.55973,28.1016,16.02,669.312
195.53397,28.15103,17.2,667.036
195.54734,28.17246,16.92,675.897
195.54286,28.19182,15.52,668.853
195.32435,28.09707,17.49,673.89
195.32941,28.12814,16.87,671.195
195.39684,28.14695,17.01,667.837
195.45355,28.17195,15.87,672.972
195.43407,28.21436,16.43,673.418
195.58967,28.23077,14.32,668.486
195.55328,28.21484,15.09,674.212
195.34491,28.19604,14.77,672.933
195.41287,28.24588,16.56,672.92
195.43034,28.29779,17.49,673.129
195.18428,28.33727,14.44,673.621
195.28765,28.35978,15.09,671.391
195.21701,28.36613,13.64,673.011
195.36121,28.43589,16.21,668.906
194.38682,27.61035,13.47,669.503
194.33164,27.61379,16.99,673.287
194.36463,27.63626,16.64,673.89
194.31993,27.61845,15.32,672.146
194.35883,27.6594,17.26,667.358
194.26078,27.65668,16.47,671.162
194.27042,27.67738,17.6,673.411
194.26767,27.73004,16.08,675.74
194.47138,27.70731,16.34,670.408
194.36726,27.70077,17.01,670.434
194.44232,27.75703,14.87,669.712
194.46796,27.73963,17.37,671.45
194.56885,27.80255,17.34,668.755
194.44943,27.76944,16.06,668.945
194.51462,27.81495,14.74,671.89
194.50713,27.85356,16.09,668.748
194.31378,27.72983,17.06,668.906
194.32605,27.74736,16.77,671.306
194.34777,27.76628,14.8,676.264
194.26894,27.77301,15.68,672.782
194.32419,27.81092,15.5,671.929
194.4471,27.83331,14.84,669.542
194.45028,27.88306,14.3,669.109
194.46098,27.87949,15.11,671.496
194.34059,27.88043,15.34,672.572
194.43876,27.90598,17.58,674.021
194.57587,27.84849,17.03,672.88
194.64071,27.83677,17.08,666.158
194.65313,27.84948,17.26,669.785
194.65033,27.87289,17.4,671.824
194.5463,27.86027,17.34,671.621
194.54855,27.89366,17.56,668.86
194.59164,27.89228,16.03,672.27
194.59283,27.88478,17.11,665.836
194.75029,27.96747,15.59,674.5
194.73022,27.9647,15.27,668.689
194.66227,27.95387,16.6,669.411
194.71149,27.99555,17.2,670.959
194.54763,27.93995,16.06,674.913
194.51194,27.97835,17.14,670.663
194.48665,27.99175,17.03,666.289
194.59096,27.96778,14.06,669.45
194.62585,28.01475,13.78,671.936
194.63295,28.04961,15.52,668.781
194.57252,28.04008,16.93,669.844
194.5822,28.09484,17.2,671.988
194.22141,27.9295,15.12,669.686
194.38015,28.01842,17.42,671.719
194.40497,28.04038,16.94,670.368
194.40185,28.07704,15.85,671.05
194.4905,28.06178,15.39,674.1
194.44461,28.14079,15.75,670.329
194.30294,28.13366,17.68,671.542
194.45279,28.18044,14.59,672.113
194.45932,28.17036,17.07,671.437
194.37497,28.18807,13.99,671.47
194.36846,28.17643,14.61,674.172
194.40113,28.2334,17.03,671.221
194.2702,28.20968,17.63,667.568
194.76731,27.95914,15.94,671.687
194.7751,27.9967,14.18,673.07
194.7981,28.00927,16.57,671.385
194.78943,28.04093,16.29,672.073
194.80799,28.07624,14.1,673.385
194.70064,28.01873,16.94,671.791
194.7699,28.05039,16.3,673.936
194.86856,28.08538,17.19,664.439
194.83283,28.0843,13.46,666.322
194.83416,28.07428,16.02,671.969
194.88167,28.10054,17.61,672.552
194.85757,28.18698,16.48,673.195
194.68396,28.04896,17.56,675.707
194.71152,28.08401,15.15,669.588
194.75863,28.11567,15.13,676.901
194.72266,28.12607,15.16,671.634
194.65145,28.11373,14.15,671.188
194.60637,28.12892,15.66,674.244
194.67344,28.18549,17.13,673.897
194.76625,28.1237,13.17,673.648
194.79129,28.1645,17.6,675.104
194.83418,28.19792,15.48,676.999
194.72064,28.23383,17.19,669.575
194.72691,28.22297,17.67,671.798
194.75755,28.22536,14.01,673.844
194.95952,28.14437,16.5,671.122
194.90619,28.16613,16.3,668.814
