wavelength, flux 
380,0.441
380.1,0.517
380.2,0.578
380.3,0.648
380.4,0.701
380.5,0.731
380.6,0.798
380.7,0.793
380.8,0.884
380.9,0.902
381,0.945
381.1,0.954
381.2,0.985
381.3,0.951
381.4,0.973
381.5,0.964
381.6,0.939
381.7,1.019
381.8,0.982
381.9,1
382,0.92
382.1,0.921
382.2,0.907
382.3,0.909
382.4,0.819
382.5,0.791
382.6,0.752
382.7,0.741
382.8,0.669
382.9,0.605
383,0.596
383.1,0.541
383.2,0.447
383.3,0.412
383.4,0.34
383.5,0.251
383.6,0.278
383.7,0.358
383.8,0.393
383.9,0.476
384,0.521
384.1,0.562
384.2,0.641
384.3,0.66
384.4,0.717
384.5,0.741
384.6,0.779
384.7,0.806
384.8,0.841
384.9,0.874
385,0.832
385.1,0.912
385.2,0.937
385.3,0.94
385.4,0.91
385.5,0.973
385.6,0.838
385.7,0.981
385.8,0.956
385.9,0.941
386,0.922
386.1,0.985
386.2,0.986
386.3,0.901
386.4,0.957
386.5,0.965
386.6,0.914
386.7,0.91
386.8,0.952
386.9,0.94
387,0.91
387.1,0.898
387.2,0.878
387.3,0.823
387.4,0.847
387.5,0.836
387.6,0.812
387.7,0.785
387.8,0.654
387.9,0.651
388,0.681
388.1,0.643
388.2,0.589
388.3,0.548
388.4,0.507
388.5,0.455
388.6,0.391
388.7,0.345
388.8,0.288
388.9,0.206
389,0.281
389.1,0.342
389.2,0.396
389.3,0.443
389.4,0.492
389.5,0.542
389.6,0.556
389.7,0.628
389.8,0.639
389.9,0.686
390,0.686
390.1,0.705
390.2,0.791
390.3,0.757
390.4,0.755
390.5,0.822
390.6,0.783
390.7,0.869
390.8,0.897
390.9,0.906
391,0.926
391.1,0.934
391.2,0.945
391.3,0.913
391.4,0.894
391.5,0.957
391.6,0.954
391.7,0.957
391.8,0.953
391.9,0.932
392,0.939
392.1,0.965
392.2,0.989
392.3,0.94
392.4,0.994
392.5,0.989
392.6,0.954
392.7,0.995
392.8,0.923
392.9,0.983
393,0.923
393.1,0.982
393.2,0.947
393.3,0.901
393.4,0.7
393.5,0.973
393.6,0.926
393.7,0.976
393.8,0.875
393.9,0.932
394,0.97
394.1,0.948
394.2,0.945
394.3,0.938
394.4,0.858
394.5,0.898
394.6,0.935
394.7,0.884
394.8,0.871
394.9,0.874
395,0.865
395.1,0.858
395.2,0.837
395.3,0.826
395.4,0.823
395.5,0.793
395.6,0.764
395.7,0.708
395.8,0.72
395.9,0.699
396,0.667
396.1,0.607
396.2,0.569
396.3,0.554
396.4,0.516
396.5,0.472
396.6,0.427
396.7,0.38
396.8,0.311
396.9,0.265
397,0.197
397.1,0.271
397.2,0.328
397.3,0.379
397.4,0.414
397.5,0.468
397.6,0.513
397.7,0.549
397.8,0.582
397.9,0.624
398,0.658
398.1,0.692
398.2,0.688
398.3,0.738
398.4,0.756
398.5,0.789
398.6,0.803
398.7,0.818
398.8,0.844
398.9,0.866
399,0.871
399.1,0.881
399.2,0.902
399.3,0.915
399.4,0.892
399.5,0.917
399.6,0.924
399.7,0.9
399.8,0.944
399.9,0.931
400,0.958
400.1,0.965
400.2,0.909
400.3,0.924
400.4,0.963
400.5,0.921
400.6,0.947
400.7,0.968
400.8,0.981
400.9,0.986
401,0.954
401.1,0.985
401.2,0.917
401.3,0.979
401.4,0.977
401.5,0.96
401.6,0.973
401.7,0.988
401.8,0.976
401.9,0.995
402,0.99
402.1,0.995
402.2,0.959
402.3,0.965
402.4,0.98
402.5,0.914
402.6,0.989
402.7,0.995
402.8,0.93
402.9,0.976
403,0.966
403.1,0.936
403.2,0.973
403.3,0.929
403.4,0.976
403.5,0.982
403.6,0.941
403.7,0.99
403.8,0.982
403.9,0.99
404,0.993
404.1,0.969
404.2,0.983
404.3,0.994
404.4,0.972
404.5,0.986
404.6,0.899
404.7,0.99
404.8,0.993
404.9,0.948
405,0.99
405.1,0.981
405.2,0.961
405.3,0.982
405.4,0.925
405.5,0.961
405.6,0.974
405.7,0.961
405.8,0.946
405.9,0.97
406,0.975
406.1,0.972
406.2,0.949
406.3,0.946
406.4,0.894
406.5,0.958
406.6,0.964
406.7,0.895
406.8,0.943
406.9,0.948
407,0.941
407.1,0.902
407.2,0.876
407.3,0.926
407.4,0.913
407.5,0.895
407.6,0.902
407.7,0.854
407.8,0.834
407.9,0.884
408,0.861
408.1,0.866
408.2,0.841
408.3,0.836
408.4,0.81
408.5,0.783
408.6,0.782
408.7,0.765
408.8,0.743
408.9,0.719
409,0.695
409.1,0.667
409.2,0.639
409.3,0.607
409.4,0.575
409.5,0.54
409.6,0.5
409.7,0.461
409.8,0.417
409.9,0.374
410,0.326
410.1,0.265
410.2,0.209
410.3,0.301
410.4,0.353
410.5,0.399
410.6,0.444
410.7,0.484
410.8,0.523
410.9,0.559
411,0.589
411.1,0.61
411.2,0.654
411.3,0.672
411.4,0.713
411.5,0.734
411.6,0.762
411.7,0.783
411.8,0.794
411.9,0.791
412,0.824
412.1,0.849
412.2,0.864
412.3,0.855
412.4,0.886
412.5,0.891
412.6,0.887
412.7,0.913
412.8,0.826
412.9,0.882
413,0.931
413.1,0.869
413.2,0.883
413.3,0.929
413.4,0.945
413.5,0.932
413.6,0.957
413.7,0.932
413.8,0.955
413.9,0.972
414,0.965
414.1,0.976
414.2,0.968
414.3,0.946
414.4,0.919
414.5,0.98
414.6,0.955
414.7,0.979
414.8,0.968
414.9,0.961
415,0.975
415.1,0.974
415.2,0.984
415.3,0.988
415.4,0.936
415.5,0.948
415.6,0.987
415.7,0.962
415.8,0.966
415.9,0.981
416,0.995
416.1,0.977
416.2,0.97
416.3,0.987
416.4,0.938
416.5,0.994
416.6,0.999
416.7,0.954
416.8,0.994
416.9,0.999
417,0.996
417.1,0.986
417.2,0.924
417.3,0.929
417.4,0.942
417.5,1
417.6,0.957
417.7,0.978
417.8,0.943
417.9,0.931
418,0.997
418.1,0.99
418.2,0.957
418.3,0.988
418.4,0.988
418.5,0.971
418.6,1.003
418.7,0.958
418.8,0.95
418.9,0.984
419,0.987
419.1,0.969
419.2,0.991
419.3,1.001
419.4,1
419.5,0.972
419.6,0.964
419.7,1
419.8,0.938
419.9,0.932
420,0.994
420.1,0.989
420.2,0.937
420.3,0.996
420.4,0.98
420.5,0.973
420.6,0.987
420.7,0.984
420.8,1.004
420.9,0.993
421,0.967
421.1,1.002
421.2,0.999
421.3,1.001
421.4,0.992
421.5,0.977
421.6,0.939
421.7,0.985
421.8,0.979
421.9,0.971
422,0.99
422.1,1.003
422.2,0.973
422.3,0.992
422.4,0.98
422.5,0.959
422.6,0.978
422.7,0.865
422.8,0.993
422.9,0.998
423,0.997
423.1,1
423.2,0.999
423.3,0.909
423.4,0.962
423.5,0.992
423.6,0.947
423.7,1
423.8,0.989
423.9,0.955
424,0.984
424.1,0.997
424.2,0.953
424.3,0.992
424.4,0.996
424.5,0.975
424.6,0.992
424.7,0.89
424.8,0.992
424.9,0.999
425,0.952
425.1,0.942
425.2,0.991
425.3,0.971
425.4,0.954
425.5,0.987
425.6,0.994
425.7,0.998
425.8,0.967
425.9,0.991
426,0.938
426.1,0.973
426.2,0.958
426.3,0.974
426.4,0.987
426.5,0.992
426.6,0.992
426.7,0.991
426.8,0.989
426.9,0.969
427,0.991
427.1,0.947
427.2,0.922
427.3,0.959
427.4,0.988
427.5,0.955
427.6,0.97
427.7,0.986
427.8,0.968
427.9,0.986
428,0.985
428.1,0.984
428.2,0.951
428.3,0.964
428.4,0.964
428.5,0.971
428.6,0.977
428.7,0.979
428.8,0.941
428.9,0.964
429,0.872
429.1,0.978
429.2,0.976
429.3,0.978
429.4,0.91
429.5,0.963
429.6,0.966
429.7,0.941
429.8,0.965
429.9,0.913
430,0.891
430.1,0.955
430.2,0.897
430.3,0.88
430.4,0.954
430.5,0.939
430.6,0.929
430.7,0.938
430.8,0.838
430.9,0.926
431,0.922
431.1,0.927
431.2,0.922
431.3,0.863
431.4,0.838
431.5,0.831
431.6,0.894
431.7,0.869
431.8,0.874
431.9,0.848
432,0.851
432.1,0.777
432.2,0.824
432.3,0.812
432.4,0.795
432.5,0.743
432.6,0.707
432.7,0.727
432.8,0.711
432.9,0.692
433,0.656
433.1,0.629
433.2,0.61
433.3,0.578
433.4,0.546
433.5,0.512
433.6,0.474
433.7,0.432
433.8,0.38
433.9,0.342
434,0.253
434.1,0.264
434.2,0.346
434.3,0.394
434.4,0.431
434.5,0.478
434.6,0.517
434.7,0.552
434.8,0.584
434.9,0.614
435,0.646
435.1,0.671
435.2,0.637
435.3,0.714
435.4,0.742
435.5,0.761
435.6,0.786
435.7,0.802
435.8,0.811
435.9,0.832
436,0.843
436.1,0.855
436.2,0.866
436.3,0.872
436.4,0.893
436.5,0.9
436.6,0.908
436.7,0.917
436.8,0.868
436.9,0.922
437,0.921
437.1,0.93
437.2,0.939
437.3,0.949
437.4,0.921
437.5,0.9
437.6,0.953
437.7,0.959
437.8,0.966
437.9,0.969
438,0.966
438.1,0.974
438.2,0.976
438.3,0.953
438.4,0.896
438.5,0.887
438.6,0.982
438.7,0.952
438.8,0.959
438.9,0.988
439,0.972
439.1,0.93
439.2,0.989
439.3,0.99
439.4,0.968
439.5,0.918
439.6,0.958
439.7,0.997
439.8,0.964
439.9,0.999
440,0.905
440.1,0.988
440.2,0.989
440.3,0.99
440.4,0.999
440.5,0.942
440.6,1.002
440.7,1.001
440.8,0.985
440.9,0.98
441,0.994
441.1,0.971
441.2,0.981
441.3,1.002
441.4,0.986
441.5,0.95
441.6,0.976
441.7,0.946
441.8,0.92
441.9,0.999
442,1.001
442.1,0.995
442.2,0.972
442.3,0.986
442.4,0.993
442.5,0.987
442.6,0.999
442.7,0.991
442.8,0.981
442.9,1.002
443,0.996
443.1,0.991
443.2,0.996
443.3,0.986
443.4,0.967
443.5,0.967
443.6,0.978
443.7,0.995
443.8,1
443.9,1.001
444,1
444.1,0.999
444.2,0.97
444.3,0.982
444.4,0.923
444.5,0.985
444.6,0.992
444.7,0.999
444.8,0.988
444.9,1
445,0.963
445.1,0.979
445.2,0.985
445.3,0.997
445.4,0.991
445.5,0.934
445.6,0.981
445.7,0.99
445.8,0.991
445.9,0.975
446,1
446.1,0.985
446.2,0.97
446.3,0.999
446.4,0.975
446.5,0.989
446.6,0.99
446.7,0.973
446.8,0.966
446.9,0.932
447,0.992
447.1,0.967
447.2,0.979
447.3,0.996
447.4,0.994
447.5,0.998
447.6,0.951
447.7,1
447.8,0.999
447.9,0.987
448,0.984
448.1,0.699
448.2,0.955
448.3,0.989
448.4,0.983
448.5,0.998
448.6,0.992
448.7,0.995
448.8,0.959
448.9,0.968
449,0.995
449.1,0.944
449.2,0.996
449.3,0.994
449.4,0.99
449.5,0.978
449.6,0.996
449.7,0.99
449.8,0.996
449.9,0.993
450,0.992
450.1,0.928
450.2,0.998
450.3,0.999
450.4,0.997
450.5,0.999
450.6,0.998
450.7,0.994
450.8,0.936
450.9,0.998
451,0.998
451.1,0.997
451.2,0.994
451.3,0.997
451.4,0.997
451.5,0.938
451.6,0.991
451.7,0.996
451.8,0.979
451.9,0.997
452,0.961
452.1,0.998
452.2,0.995
452.3,0.929
452.4,0.997
452.5,0.939
452.6,0.995
452.7,0.993
452.8,0.992
452.9,0.943
453,0.988
453.1,0.985
453.2,0.993
453.3,0.991
453.4,0.883
453.5,0.993
453.6,0.993
453.7,0.996
453.8,0.996
453.9,0.997
454,0.996
454.1,0.977
454.2,0.967
454.3,0.999
454.4,0.989
454.5,0.99
