wavelength, flux 
380,0.52
380.1,0.637
380.2,0.571
380.3,0.761
380.4,0.768
380.5,0.711
380.6,0.759
380.7,0.601
380.8,0.826
380.9,0.809
381,0.886
381.1,0.82
381.2,0.871
381.3,0.758
381.4,0.785
381.5,0.774
381.6,0.655
381.7,0.921
381.8,0.768
381.9,0.923
382,0.682
382.1,0.746
382.2,0.765
382.3,0.851
382.4,0.627
382.5,0.709
382.6,0.644
382.7,0.728
382.8,0.597
382.9,0.548
383,0.615
383.1,0.639
383.2,0.403
383.3,0.457
383.4,0.373
383.5,0.282
383.6,0.302
383.7,0.442
383.8,0.407
383.9,0.538
384,0.578
384.1,0.551
384.2,0.733
384.3,0.614
384.4,0.66
384.5,0.725
384.6,0.711
384.7,0.746
384.8,0.847
384.9,0.783
385,0.71
385.1,0.819
385.2,0.845
385.3,0.844
385.4,0.81
385.5,0.881
385.6,0.621
385.7,0.867
385.8,0.762
385.9,0.691
386,0.672
386.1,0.839
386.2,0.912
386.3,0.743
386.4,0.776
386.5,0.853
386.6,0.744
386.7,0.656
386.8,0.805
386.9,0.816
387,0.74
387.1,0.798
387.2,0.756
387.3,0.664
387.4,0.76
387.5,0.774
387.6,0.8
387.7,0.801
387.8,0.492
387.9,0.582
388,0.754
388.1,0.76
388.2,0.635
388.3,0.651
388.4,0.644
388.5,0.57
388.6,0.435
388.7,0.445
388.8,0.385
388.9,0.22
389,0.362
389.1,0.456
389.2,0.53
389.3,0.523
389.4,0.564
389.5,0.648
389.6,0.56
389.7,0.744
389.8,0.627
389.9,0.698
390,0.658
390.1,0.739
390.2,0.817
390.3,0.675
390.4,0.614
390.5,0.722
390.6,0.668
390.7,0.702
390.8,0.838
390.9,0.81
391,0.812
391.1,0.82
391.2,0.86
391.3,0.844
391.4,0.691
391.5,0.891
391.6,0.806
391.7,0.811
391.8,0.796
391.9,0.686
392,0.742
392.1,0.763
392.2,0.874
392.3,0.719
392.4,0.903
392.5,0.861
392.6,0.715
392.7,0.89
392.8,0.625
392.9,0.712
393,0.527
393.1,0.508
393.2,0.343
393.3,0.211
393.4,0.157
393.5,0.3
393.6,0.418
393.7,0.624
393.8,0.555
393.9,0.738
394,0.845
394.1,0.749
394.2,0.792
394.3,0.765
394.4,0.678
394.5,0.707
394.6,0.923
394.7,0.793
394.8,0.744
394.9,0.708
395,0.712
395.1,0.811
395.2,0.804
395.3,0.702
395.4,0.848
395.5,0.779
395.6,0.711
395.7,0.644
395.8,0.739
395.9,0.797
396,0.756
396.1,0.636
396.2,0.589
396.3,0.621
396.4,0.576
396.5,0.532
396.6,0.411
396.7,0.331
396.8,0.201
396.9,0.187
397,0.213
397.1,0.327
397.2,0.441
397.3,0.487
397.4,0.478
397.5,0.569
397.6,0.62
397.7,0.62
397.8,0.662
397.9,0.725
398,0.766
398.1,0.761
398.2,0.624
398.3,0.756
398.4,0.702
398.5,0.772
398.6,0.776
398.7,0.749
398.8,0.859
398.9,0.881
399,0.769
399.1,0.834
399.2,0.883
399.3,0.918
399.4,0.731
399.5,0.775
399.6,0.845
399.7,0.755
399.8,0.849
399.9,0.73
400,0.915
400.1,0.933
400.2,0.807
400.3,0.85
400.4,0.895
400.5,0.718
400.6,0.835
400.7,0.822
400.8,0.958
400.9,0.932
401,0.795
401.1,0.916
401.2,0.724
401.3,0.936
401.4,0.855
401.5,0.842
401.6,0.861
401.7,0.914
401.8,0.82
401.9,0.951
402,0.897
402.1,0.934
402.2,0.8
402.3,0.871
402.4,0.858
402.5,0.716
402.6,0.885
402.7,0.935
402.8,0.858
402.9,0.938
403,0.767
403.1,0.729
403.2,0.804
403.3,0.707
403.4,0.853
403.5,0.93
403.6,0.717
403.7,0.912
403.8,0.93
403.9,0.898
404,0.955
404.1,0.793
404.2,0.872
404.3,0.956
404.4,0.853
404.5,0.862
404.6,0.615
404.7,0.945
404.8,0.967
404.9,0.796
405,0.947
405.1,0.925
405.2,0.848
405.3,0.899
405.4,0.832
405.5,0.768
405.6,0.887
405.7,0.871
405.8,0.785
405.9,0.847
406,0.908
406.1,0.921
406.2,0.856
406.3,0.792
406.4,0.717
406.5,0.884
406.6,0.927
406.7,0.707
406.8,0.865
406.9,0.874
407,0.884
407.1,0.753
407.2,0.73
407.3,0.896
407.4,0.868
407.5,0.831
407.6,0.834
407.7,0.701
407.8,0.661
407.9,0.821
408,0.785
408.1,0.885
408.2,0.828
408.3,0.832
408.4,0.756
408.5,0.725
408.6,0.83
408.7,0.815
408.8,0.815
408.9,0.792
409,0.771
409.1,0.751
409.2,0.76
409.3,0.742
409.4,0.737
409.5,0.711
409.6,0.63
409.7,0.618
409.8,0.57
409.9,0.546
410,0.467
410.1,0.343
410.2,0.248
410.3,0.408
410.4,0.499
410.5,0.547
410.6,0.617
410.7,0.646
410.8,0.677
410.9,0.686
411,0.695
411.1,0.71
411.2,0.73
411.3,0.717
411.4,0.801
411.5,0.766
411.6,0.839
411.7,0.848
411.8,0.831
411.9,0.718
412,0.807
412.1,0.853
412.2,0.892
412.3,0.818
412.4,0.873
412.5,0.897
412.6,0.793
412.7,0.899
412.8,0.694
412.9,0.779
413,0.897
413.1,0.871
413.2,0.743
413.3,0.847
413.4,0.82
413.5,0.845
413.6,0.929
413.7,0.8
413.8,0.894
413.9,0.965
414,0.905
414.1,0.958
414.2,0.863
414.3,0.84
414.4,0.777
414.5,0.955
414.6,0.884
414.7,0.939
414.8,0.863
414.9,0.826
415,0.86
415.1,0.928
415.2,0.876
415.3,0.959
415.4,0.735
415.5,0.836
415.6,0.89
415.7,0.821
415.8,0.874
415.9,0.895
416,0.951
416.1,0.863
416.2,0.827
416.3,0.916
416.4,0.867
416.5,0.927
416.6,0.968
416.7,0.83
416.8,0.899
416.9,0.952
417,0.923
417.1,0.885
417.2,0.726
417.3,0.761
417.4,0.806
417.5,0.912
417.6,0.811
417.7,0.815
417.8,0.789
417.9,0.836
418,0.943
418.1,0.904
418.2,0.806
418.3,0.9
418.4,0.926
418.5,0.882
418.6,0.963
418.7,0.828
418.8,0.82
418.9,0.895
419,0.887
419.1,0.878
419.2,0.893
419.3,0.966
419.4,0.952
419.5,0.869
419.6,0.796
419.7,0.941
419.8,0.818
419.9,0.755
420,0.906
420.1,0.895
420.2,0.756
420.3,0.911
420.4,0.85
420.5,0.81
420.6,0.898
420.7,0.841
420.8,0.992
420.9,0.9
421,0.827
421.1,0.952
421.2,0.95
421.3,0.957
421.4,0.909
421.5,0.909
421.6,0.693
421.7,0.894
421.8,0.906
421.9,0.877
422,0.89
422.1,0.987
422.2,0.874
422.3,0.962
422.4,0.858
422.5,0.835
422.6,0.804
422.7,0.607
422.8,0.939
422.9,0.931
423,0.952
423.1,0.972
423.2,0.959
423.3,0.825
423.4,0.848
423.5,0.895
423.6,0.802
423.7,0.963
423.8,0.899
423.9,0.847
424,0.795
424.1,0.919
424.2,0.901
424.3,0.907
424.4,0.941
424.5,0.846
424.6,0.915
424.7,0.739
424.8,0.91
424.9,0.96
425,0.851
425.1,0.805
425.2,0.951
425.3,0.925
425.4,0.838
425.5,0.952
425.6,0.933
425.7,0.981
425.8,0.856
425.9,0.96
426,0.764
426.1,0.882
426.2,0.887
426.3,0.86
426.4,0.921
426.5,0.925
426.6,0.943
426.7,0.951
426.8,0.912
426.9,0.864
427,0.91
427.1,0.823
427.2,0.749
427.3,0.891
427.4,0.905
427.5,0.823
427.6,0.92
427.7,0.915
427.8,0.887
427.9,0.952
428,0.897
428.1,0.903
428.2,0.855
428.3,0.838
428.4,0.914
428.5,0.865
428.6,0.897
428.7,0.87
428.8,0.823
428.9,0.824
429,0.623
429.1,0.87
429.2,0.912
429.3,0.947
429.4,0.828
429.5,0.867
429.6,0.893
429.7,0.843
429.8,0.886
429.9,0.705
430,0.761
430.1,0.802
430.2,0.766
430.3,0.751
430.4,0.898
430.5,0.83
430.6,0.791
430.7,0.883
430.8,0.639
430.9,0.79
431,0.814
431.1,0.904
431.2,0.905
431.3,0.809
431.4,0.768
431.5,0.737
431.6,0.932
431.7,0.863
431.8,0.916
431.9,0.827
432,0.895
432.1,0.721
432.2,0.86
432.3,0.863
432.4,0.837
432.5,0.738
432.6,0.632
432.7,0.741
432.8,0.781
432.9,0.818
433,0.75
433.1,0.719
433.2,0.752
433.3,0.725
433.4,0.707
433.5,0.692
433.6,0.664
433.7,0.563
433.8,0.481
433.9,0.457
434,0.301
434.1,0.309
434.2,0.472
434.3,0.553
434.4,0.534
434.5,0.636
434.6,0.697
434.7,0.706
434.8,0.726
434.9,0.76
435,0.784
435.1,0.756
435.2,0.615
435.3,0.757
435.4,0.83
435.5,0.813
