wavelength, flux 
380,0.451
380.1,0.617
380.2,0.48
380.3,0.68
380.4,0.731
380.5,0.528
380.6,0.564
380.7,0.344
380.8,0.591
380.9,0.635
381,0.739
381.1,0.584
381.2,0.675
381.3,0.57
381.4,0.556
381.5,0.478
381.6,0.212
381.7,0.621
381.8,0.506
381.9,0.605
382,0.243
382.1,0.299
382.2,0.449
382.3,0.609
382.4,0.327
382.5,0.325
382.6,0.228
382.7,0.432
382.8,0.275
382.9,0.324
383,0.414
383.1,0.478
383.2,0.195
383.3,0.292
383.4,0.216
383.5,0.307
383.6,0.351
383.7,0.391
383.8,0.212
383.9,0.298
384,0.34
384.1,0.246
384.2,0.529
384.3,0.479
384.4,0.475
384.5,0.585
384.6,0.578
384.7,0.506
384.8,0.631
384.9,0.535
385,0.379
385.1,0.542
385.2,0.571
385.3,0.563
385.4,0.512
385.5,0.539
385.6,0.3
385.7,0.527
385.8,0.402
385.9,0.299
386,0.182
386.1,0.36
386.2,0.575
386.3,0.523
386.4,0.523
386.5,0.539
386.6,0.456
386.7,0.433
386.8,0.439
386.9,0.464
387,0.404
387.1,0.283
387.2,0.361
387.3,0.405
387.4,0.553
387.5,0.523
387.6,0.593
387.7,0.54
387.8,0.291
387.9,0.377
388,0.468
388.1,0.512
388.2,0.378
388.3,0.273
388.4,0.649
388.5,0.532
388.6,0.253
388.7,0.373
388.8,0.507
388.9,0.264
389,0.43
389.1,0.501
389.2,0.613
389.3,0.458
389.4,0.591
389.5,0.483
389.6,0.437
389.7,0.774
389.8,0.502
389.9,0.636
390,0.47
390.1,0.698
390.2,0.587
390.3,0.445
390.4,0.516
390.5,0.521
390.6,0.433
390.7,0.515
390.8,0.664
390.9,0.652
391,0.575
391.1,0.597
391.2,0.693
391.3,0.693
391.4,0.509
391.5,0.729
391.6,0.529
391.7,0.634
391.8,0.615
391.9,0.474
392,0.41
392.1,0.389
392.2,0.515
392.3,0.347
392.4,0.597
392.5,0.532
392.6,0.41
392.7,0.473
392.8,0.235
392.9,0.3
393,0.199
393.1,0.208
393.2,0.178
393.3,0.129
393.4,0.099
393.5,0.167
393.6,0.185
393.7,0.248
393.8,0.259
393.9,0.374
394,0.447
394.1,0.417
394.2,0.482
394.3,0.478
394.4,0.332
394.5,0.46
394.6,0.716
394.7,0.582
394.8,0.508
394.9,0.51
395,0.54
395.1,0.672
395.2,0.662
395.3,0.425
395.4,0.73
395.5,0.656
395.6,0.592
395.7,0.499
395.8,0.611
395.9,0.733
396,0.655
396.1,0.447
396.2,0.331
396.3,0.405
396.4,0.368
396.5,0.316
396.6,0.219
396.7,0.182
396.8,0.124
396.9,0.118
397,0.179
397.1,0.237
397.2,0.303
397.3,0.353
397.4,0.358
397.5,0.453
397.6,0.518
397.7,0.535
397.8,0.598
397.9,0.656
398,0.741
398.1,0.703
398.2,0.537
398.3,0.621
398.4,0.605
398.5,0.66
398.6,0.706
398.7,0.605
398.8,0.84
398.9,0.831
399,0.592
399.1,0.766
