wavelength, flux, error 
380,0.171,0.009
380.1,0.406,0.02
380.2,0.377,0.019
380.3,0.491,0.025
380.4,0.576,0.029
380.5,0.297,0.015
380.6,0.313,0.016
380.7,0.052,0.003
380.8,0.372,0.019
380.9,0.394,0.02
381,0.413,0.021
381.1,0.34,0.017
381.2,0.423,0.021
381.3,0.283,0.014
381.4,0.229,0.011
381.5,0.099,0.005
381.6,0.085,0.004
381.7,0.215,0.011
381.8,0.212,0.011
381.9,0.195,0.01
382,0.059,0.003
382.1,0.13,0.007
382.2,0.156,0.008
382.3,0.214,0.011
382.4,0.088,0.004
382.5,0.05,0.003
382.6,0.043,0.002
382.7,0.084,0.004
382.8,0.084,0.004
382.9,0.106,0.005
383,0.165,0.008
383.1,0.179,0.009
383.2,0.085,0.004
383.3,0.152,0.008
383.4,0.107,0.005
383.5,0.141,0.007
383.6,0.199,0.01
383.7,0.134,0.007
383.8,0.121,0.006
383.9,0.127,0.006
384,0.072,0.004
384.1,0.104,0.005
384.2,0.185,0.009
384.3,0.209,0.01
384.4,0.243,0.012
384.5,0.242,0.012
384.6,0.236,0.012
384.7,0.25,0.012
384.8,0.306,0.015
384.9,0.21,0.01
385,0.053,0.003
385.1,0.186,0.009
385.2,0.231,0.012
385.3,0.213,0.011
385.4,0.178,0.009
385.5,0.154,0.008
385.6,0.072,0.004
385.7,0.19,0.009
385.8,0.139,0.007
385.9,0.121,0.006
386,0.061,0.003
386.1,0.074,0.004
386.2,0.219,0.011
386.3,0.21,0.011
386.4,0.204,0.01
386.5,0.161,0.008
386.6,0.204,0.01
386.7,0.179,0.009
386.8,0.172,0.009
386.9,0.196,0.01
387,0.145,0.007
387.1,0.159,0.008
387.2,0.166,0.008
387.3,0.15,0.007
387.4,0.267,0.013
387.5,0.244,0.012
387.6,0.33,0.016
387.7,0.203,0.01
387.8,0.068,0.003
387.9,0.108,0.005
388,0.199,0.01
388.1,0.271,0.014
388.2,0.161,0.008
388.3,0.124,0.006
388.4,0.382,0.019
388.5,0.228,0.011
388.6,0.041,0.002
388.7,0.111,0.006
388.8,0.207,0.01
388.9,0.248,0.012
389,0.321,0.016
389.1,0.397,0.02
389.2,0.536,0.027
389.3,0.367,0.018
389.4,0.372,0.019
389.5,0.259,0.013
389.6,0.173,0.009
389.7,0.478,0.024
389.8,0.226,0.011
389.9,0.312,0.016
390,0.103,0.005
390.1,0.409,0.02
390.2,0.308,0.015
390.3,0.166,0.008
390.4,0.327,0.016
390.5,0.286,0.014
390.6,0.183,0.009
390.7,0.22,0.011
390.8,0.459,0.023
390.9,0.529,0.026
391,0.392,0.02
391.1,0.41,0.021
391.2,0.52,0.026
391.3,0.522,0.026
391.4,0.371,0.019
391.5,0.579,0.029
391.6,0.348,0.017
391.7,0.388,0.019
391.8,0.426,0.021
391.9,0.185,0.009
392,0.092,0.005
392.1,0.166,0.008
392.2,0.257,0.013
392.3,0.122,0.006
392.4,0.332,0.017
392.5,0.334,0.017
392.6,0.204,0.01
392.7,0.252,0.013
392.8,0.15,0.008
392.9,0.175,0.009
393,0.022,0.001
393.1,0.149,0.007
393.2,0.007,0.001
393.3,0.036,0.002
393.4,0.05,0.002
393.5,0.077,0.004
393.6,0.121,0.006
393.7,0.194,0.01
393.8,0.174,0.009
393.9,0.239,0.012
394,0.307,0.015
394.1,0.244,0.012
394.2,0.301,0.015
394.3,0.176,0.009
394.4,0.135,0.007
