time (years),flux (solar flux units)
2004.827,135.800
2004.830,130.600
2004.833,136.400
2004.836,139.200
2004.838,135.500
2004.841,133.100
2004.844,135.900
2004.847,136.000
2004.849,141.200
2004.852,128.800
2004.855,129.600
2004.858,124.100
2004.860,140.900
2004.863,104.600
2004.866,94.900
2004.869,96.000
2004.871,96.400
2004.874,100.300
2004.877,105.600
2004.880,106.600
2004.882,104.900
2004.885,104.000
2004.888,103.400
2004.890,99.300
2004.893,100.900
2004.896,106.300
2004.899,106.900
2004.901,107.300
2004.904,109.400
2004.907,111.100
2004.910,110.300
2004.912,112.800
2004.915,111.400
2004.918,110.600
2004.921,111.000
2004.923,105.600
2004.926,100.800
2004.929,97.400
2004.932,95.900
2004.934,93.200
2004.937,89.700
2004.940,96.500
2004.943,87.400
2004.945,84.800
2004.948,89.800
2004.951,90.500
2004.953,89.700
2004.956,89.300
2004.959,89.300
2004.975,101.000
2004.978,98.800
2004.981,96.400
2004.984,97.200
2004.986,93.000
2004.989,91.700
2004.992,96.900
2004.995,105.200
2004.997,98.500
2005.000,100.000
2005.003,98.500
2005.003,98.900
2005.006,100.000
2005.008,94.200
2005.011,88.000
2005.014,86.900
2005.016,83.200
2005.019,83.500
2005.022,87.300
2005.025,87.500
2005.027,90.100
2005.030,94.200
2005.033,102.100
2005.036,115.600
2005.038,129.800
2005.041,144.900
2005.044,144.500
2005.047,137.500
2005.049,124.300
2005.052,132.500
2005.055,122.700
2005.058,113.500
2005.060,102.200
2005.063,95.800
2005.066,94.600
2005.069,94.100
2005.071,89.300
2005.074,86.900
2005.077,84.900
2005.080,86.400
2005.082,85.500
2005.085,86.200
2005.088,83.700
2005.090,81.800
2005.093,83.000
2005.096,82.100
2005.099,94.600
2005.101,97.000
2005.104,103.100
2005.107,108.200
2005.110,108.600
2005.112,114.100
2005.115,114.100
2005.118,116.400
2005.121,115.500
2005.123,118.100
2005.126,121.700
2005.129,112.800
2005.132,111.300
2005.134,104.200
2005.137,98.500
2005.140,95.700
2005.143,94.500
2005.145,92.300
2005.148,84.600
2005.151,80.300
2005.153,78.200
2005.156,76.600
2005.159,75.800
2005.162,75.000
2005.164,73.700
2005.167,74.600
2005.170,77.000
2005.173,78.900
2005.175,81.200
2005.178,83.600
2005.181,87.000
2005.184,93.500
2005.186,99.900
2005.189,101.600
2005.192,104.900
2005.195,110.100
2005.197,113.800
2005.200,111.500
2005.203,108.200
2005.206,104.600
2005.208,101.700
2005.211,96.500
2005.214,93.000
2005.216,89.000
2005.219,89.800
2005.222,87.300
2005.225,87.700
2005.227,87.100
2005.230,82.100
2005.233,77.700
2005.236,78.400
2005.238,79.700
2005.241,78.800
2005.244,77.600
2005.247,76.700
2005.249,78.300
2005.252,80.200
2005.255,81.100
2005.258,84.800
2005.260,88.300
2005.263,88.000
2005.266,87.800
2005.269,87.700
2005.271,88.400
2005.274,88.300
2005.277,87.500
2005.280,84.900
2005.282,83.500
2005.285,85.400
2005.288,84.900
2005.290,82.900
2005.293,83.600
2005.296,81.300
2005.299,78.200
2005.301,77.000
2005.304,77.100
2005.307,77.200
2005.310,79.300
2005.312,82.300
2005.315,86.000
2005.318,90.900
2005.321,95.300
2005.323,98.000
2005.326,105.000
2005.329,106.400
2005.332,111.600
2005.334,112.200
2005.337,112.300
2005.340,108.700
2005.343,109.100
2005.345,110.400
2005.348,99.900
2005.351,101.300
2005.353,110.000
2005.356,119.200
2005.359,125.300
2005.362,117.400
2005.364,125.900
2005.367,99.500
2005.370,103.000
2005.373,99.100
2005.375,90.000
2005.378,83.800
2005.381,84.700
2005.384,83.500
2005.386,81.900
2005.389,82.100
2005.392,83.400
2005.395,85.200
2005.397,83.800
2005.400,90.400
2005.403,95.500
2005.406,92.500
2005.408,92.700
2005.411,94.900
2005.414,96.300
