Phase,Time (years),Teff (K),Luminosity (Lsun)
0,9092718.68,9236.52,17.86
0,9343467.25,9210.16,17.38
0,9613664.45,9193.15,17.12
0,9897201.77,9185.99,17.01
0,10190207.49,9184.54,16.97
0,10492002.12,9185.58,16.96
0,10801945.67,9187.49,16.96
0,11121694.79,9189.55,16.96
0,11452675.48,9191.31,16.95
0,11789310.33,9192.93,16.95
0,12141262.48,9194.24,16.94
0,12498669.51,9195.45,16.94
0,12871693.45,9196.39,16.93
0,13248326.05,9197.33,16.93
0,13646629.58,9198.23,16.93
0,14044933.11,9199.12,16.92
0,14466426.59,9199.93,16.92
0,14895060.74,9200.71,16.92
0,15327796.16,9201.46,16.92
0,15792822.05,9202.01,16.92
0,16257847.94,9202.56,16.91
0,16730710.57,9203.10,16.91
0,17239399.13,9203.57,16.91
0,17748087.69,9204.04,16.91
0,18256776.25,9204.50,16.91
0,18815849.43,9204.87,16.91
0,19376926.51,9205.22,16.92
0,19938003.59,9205.58,16.92
0,20528058.65,9205.89,16.92
0,21151994.61,9206.15,16.92
0,21775930.56,9206.40,16.92
0,22399866.51,9206.65,16.92
0,23075340.96,9206.82,16.93
0,23774700.03,9206.94,16.93
0,24474059.10,9207.07,16.93
0,25173418.16,9207.19,16.93
0,25930606.67,9207.23,16.94
0,26720465.21,9207.21,16.94
0,27510323.74,9207.20,16.94
0,28300182.28,9207.19,16.95
0,29127165.95,9207.11,16.95
0,30025615.81,9206.89,16.96
0,30924065.67,9206.68,16.96
0,31822515.54,9206.47,16.97
0,32720965.40,9206.26,16.97
0,33724773.25,9205.88,16.98
0,34753523.43,9205.47,16.98
0,35782273.61,9205.05,16.99
0,36811023.80,9204.63,16.99
0,37848785.35,9204.20,17.00
0,39033885.42,9203.55,17.00
0,40218985.49,9202.89,17.01
0,41404085.56,9202.23,17.02
0,42589185.62,9201.58,17.02
0,43794670.14,9200.90,17.03
0,45167379.42,9200.04,17.04
0,46540088.71,9199.19,17.04
0,47912797.99,9198.33,17.05
0,49285507.27,9197.48,17.06
0,50658216.56,9196.63,17.07
0,52251882.93,9195.46,17.08
0,53849706.61,9194.29,17.09
0,55447530.29,9193.12,17.09
0,57045353.96,9191.95,17.10
0,58643177.64,9190.78,17.11
0,60428948.50,9189.35,17.12
0,62296885.88,9187.79,17.13
0,64164823.27,9186.24,17.14
0,66032760.66,9184.69,17.15
0,67900698.04,9183.13,17.17
0,69856195.19,9181.51,17.18
0,72048247.20,9179.69,17.19
0,74240299.20,9177.87,17.20
0,76432351.21,9176.05,17.22
0,78624403.21,9174.23,17.23
0,80816455.22,9172.41,17.24
0,83285341.76,9170.01,17.26
0,85860799.42,9167.40,17.27
0,88436257.07,9164.79,17.28
0,91011714.72,9162.18,17.30
0,93587172.38,9159.57,17.31
0,96251504.72,9156.92,17.33
0,99253260.83,9154.12,17.35
0,102255016.94,9151.32,17.37
0,105256773.04,9148.53,17.38
0,108258529.15,9145.73,17.40
0,111347751.46,9142.77,17.42
0,114791007.29,9139.13,17.44
0,118234263.12,9135.49,17.46
0,121677518.95,9131.85,17.48
0,125120774.78,9128.21,17.50
0,128907928.68,9124.51,17.53
0,132794873.08,9120.79,17.56
0,136681817.49,9117.07,17.58
0,140568761.89,9113.36,17.61
0,144837166.09,9108.89,17.64
0,149164851.18,9104.31,17.67
0,153492536.26,9099.73,17.70
0,157989903.47,9094.95,17.73
0,162753257.47,9089.86,17.76
0,167516611.47,9084.77,17.79
0,172395623.89,9079.54,17.82
0,177588683.06,9073.91,17.86
0,182781742.22,9068.29,17.89
0,188164605.10,9062.44,17.93
0,193781660.91,9056.29,17.97
0,199398716.72,9050.16,18.01
0,205379469.92,9043.60,18.05
0,211415430.77,9036.98,18.10
0,217656680.31,9029.97,18.14
0,224106405.78,9022.58,18.19
0,230678156.90,9015.03,18.24
0,237537117.21,9007.12,18.29
0,244499465.14,8999.16,18.34
0,251762675.72,8991.04,18.39
0,259166558.72,8982.67,18.45
0,266828975.30,8973.82,18.51
0,274713255.50,8964.53,18.57
0,282771921.99,8954.90,18.63
0,291170415.94,8944.71,18.70
0,299725574.30,8934.31,18.77
0,308564644.70,8923.51,18.84
0,317694433.09,8912.28,18.91
0,327041850.02,8900.75,18.99
0,336640474.98,8888.84,19.07
0,346604308.95,8876.31,19.15
0,356828885.82,8863.41,19.24
0,367332942.25,8849.93,19.33
0,378133508.26,8835.77,19.42
0,389246640.75,8821.11,19.52
0,400686158.37,8805.90,19.62
0,412463257.14,8789.92,19.72
0,424585380.02,8772.96,19.83
0,437061241.12,8755.29,19.95
0,449900871.71,8736.85,20.06
0,463106784.26,8717.50,20.19
0,476683610.01,8697.26,20.32
0,490632273.66,8675.87,20.45
0,504953785.64,8653.28,20.59
0,519723391.26,8629.36,20.73
0,534874945.70,8604.26,20.89
0,550447042.02,8577.44,21.04
0,566432057.90,8548.87,21.21
0,582860127.34,8518.40,21.38
0,599710573.67,8486.17,21.55
0,616992319.38,8451.64,21.74
0,634714193.90,8414.79,21.93
0,652878462.43,8375.55,22.13
0,671471210.77,8333.49,22.33
0,690490584.17,8288.75,22.54
0,709933327.05,8240.80,22.76
