x (pc),y (pc),z (pc)
-820.8305795,8848.284975,-808.7145131
4418.843224,-26491.16787,-4292.20845
-5189.244531,-19218.85787,9512.266426
-8247.739019,-7632.144065,-6318.927286
-9469.281843,-4289.479828,-2982.83241
-8940.342107,-4262.409218,-6945.470443
-4089.299776,-1264.28569,18824.51152
45.44730663,-83.28706977,-8911.494925
-10004.44074,94.29242445,-12865.73272
-4809.905077,609.3381626,736.706289
1341.347039,1477.744029,9996.734302
-2583.054363,1869.819524,-3176.571439
-9214.74836,1990.615722,-1875.208175
-331.7997419,2087.825308,605.3886481
-837.4578509,2089.562107,-476.440497
3333.340822,2186.265957,-317.9325846
6323.581911,2511.346478,4739.484643
4603.664781,2765.067407,4655.117809
-1445.573369,2829.767821,17607.56643
-7090.07203,2903.514593,-2641.078874
-4904.263745,2945.614088,-996.3953829
304.5069922,2982.283165,-115.1634273
-1373.374391,3038.858384,17076.42772
-5070.802119,3111.044816,-6214.497166
544.5174745,3123.162739,-420.1895094
-3897.733618,3167.602187,1342.970597
1062.67188,3194.509526,967.9082406
-1439.475504,3308.987553,-1730.466887
3036.30124,3353.275256,15350.32341
4666.335515,3589.671382,280.7280475
-5439.523447,3614.010738,-918.9864296
8369.235473,3900.860411,-4767.897824
1057.721261,3911.944147,1726.830544
-7236.548386,4114.273521,6059.103634
1164.224038,4139.085685,2126.913511
8264.323721,4272.844779,1363.876801
697.5643287,4746.825131,-175.089073
761.9962259,4927.884928,-2144.410383
2532.876679,4934.798842,-5915.080483
1997.782264,4987.237207,534.352008
344.773384,5123.199927,5467.993674
-1773.566597,5276.138157,-699.2336333
303.7187795,5283.487605,-305.1469069
742.0995786,5424.500034,-533.9368879
-12621.23731,5487.870169,-972.0384926
7491.564705,5571.84594,-6726.220343
453.5477694,5775.758592,-200.290068
211.4915823,5795.311025,181.233081
-428.4471728,5862.355861,553.5637095
346.0946491,5877.415533,2501.56234
569.281044,5923.045125,633.8071811
3056.3889,5954.756711,1233.286427
4349.852597,5965.136836,-505.8902258
548.2472502,5966.531753,-316.1072431
-4098.882876,5975.075307,-2292.95317
2947.992227,6222.465639,-518.9298584
304.4104002,6291.639149,-275.0202373
4663.526041,6371.900299,-303.3404674
-4222.851,6404.2897,653.6083471
382.567161,6516.175846,-600.9323651
22317.70984,6551.532352,19732.4417
-283.9862181,6691.956666,116.9136707
-755.8758773,6707.080911,867.030748
1552.972624,6796.986629,-1341.360797
-169.8768768,6805.039866,-256.7455243
460.6942598,6881.59511,203.4933339
922.494902,6978.805825,697.6735737
9428.36431,7009.783783,-23533.31015
446.0485397,7089.738517,-245.5859589
-499.4700336,7178.764092,164.5593892
-1368.415099,7228.301194,-1453.995519
2749.55293,7242.056506,920.9653932
1260.492855,7327.973138,-77.86818669
25.72655789,7370.086009,-777.2331496
-276.0495213,7457.195227,-435.5008774
-480.6679055,7473.467874,302.0948509
-4549.402128,7503.086813,-427.6137799
-8607.528552,7644.808374,2148.226745
136.7857579,7682.763401,-526.5360161
748.6267943,7718.303282,1466.634371
130.8576204,7728.735101,1087.734355
379.753448,7820.572902,-1087.865709
-2086.791927,7826.247258,1310.411504
155.225653,7869.576666,-573.8746284
1369.546034,7920.583574,-905.881064
3246.218515,7922.975073,1406.719712
-1143.196649,8042.580729,1741.511021
-1308.850484,8081.086945,-489.2291902
-927.0141482,8148.943558,-326.5389088
-367.2988888,8183.097478,304.6574956
-3135.755078,8250.595385,-285.0910054
10.15225375,8309.72861,-2586.603246
714.3109652,8349.199169,1436.884502
3268.228228,8373.933861,2376.703589
1138.226973,8396.43347,564.2768287
-1204.621431,8485.343537,2410.651628
259.9097682,8655.383211,-1567.414554
-475.2448942,8663.140373,1434.774257
436.9335518,8776.77117,-1948.172965
-5665.487525,8920.495588,776.0319368
11651.21329,9070.222077,-5052.478241
-67.14247222,9159.312807,872.2853813
20.93391779,9226.331382,1798.435711
1281.681535,9248.437348,-1171.238258
-1204.205207,9361.398602,3336.798921
-389.7483613,9377.349106,1292.321924
-3996.307835,9423.855928,2414.073762
-2450.648475,9510.183781,-1158.899268
-3041.174989,9563.827149,1223.341717
261.7373931,9799.270094,-1971.243301
3465.149665,9939.381804,1249.570788
-2173.92378,10046.30643,594.4732238
-3166.718209,10319.20671,6307.604353
-511.0222939,10337.67007,1045.869402
636.2151288,10553.1524,737.4339033
-17829.59491,10662.34124,4290.849981
-14004.24014,10687.69819,-6576.076453
-1855.230482,10718.3309,-648.1600806
90.69650505,10825.84455,-1266.04261
-2311.269386,10892.36205,-1965.383378
-9967.401421,10969.40583,-4199.651142
6810.09199,10979.2748,-3599.988324
6491.136168,11019.76248,-14045.56878
-212.6001195,11173.96333,2689.306558
-1303.270943,11492.15765,-1011.878173
-866.5766631,11552.06661,-783.660005
8238.486632,11696.12608,-9177.471424
-3971.980703,12326.90599,-3814.152448
3096.64299,12328.2525,-1513.470696
1599.072283,13571.36867,2466.15415
-793.9985413,13646.10538,-592.0290483
-436.7785122,15071.42335,2645.049493
-5029.303989,15664.44782,19106.98752
-9865.213421,16041.94844,1432.558294
239.5874658,16148.63945,16648.48542
34836.70922,17172.00566,-13677.39893
9308.69396,17448.29063,5760.466536
6530.53468,17654.32923,-9075.317366
-4733.157516,20339.53266,-4652.596706
1262.413863,21374.87019,-7818.776167
6865.947743,23134.56254,6538.408186
2402.359195,23816.15069,-10933.96051
2508.919785,25587.94339,-6448.528801
-13718.02397,26408.32031,12071.67896
-14613.52165,26417.834,17691.32827
3970.26466,26439.38285,-10145.30675
13245.4861,38797.3464,18553.51749
