x (pc),y (pc),z (pc)
-7743.296294,-11186.91122,1762.197733
-3293.57785,-10172.8258,1497.053487
-1867.377667,-8666.250668,-593.4854713
-8167.096166,-7720.539233,-1910.972047
-3193.623331,-7351.847638,-2508.845816
-1837.417823,-6612.068732,339.2400742
-4487.404972,-6349.531172,-1287.171908
-4294.075807,-6278.388984,-861.2605458
-4083.973506,-6020.679544,237.5273305
2769.021262,-5771.635902,288.4514989
-678.1425136,-5670.238453,-247.3350417
-2746.830545,-5577.381377,557.0484102
1627.379126,-5543.645848,509.53694
1664.405651,-5471.33699,616.2218508
-5039.827136,-5442.518226,-866.118811
881.1334627,-5369.009099,-42.73307474
311.1582683,-5363.884885,876.9580773
-3432.297144,-5356.628843,-197.7087616
-4896.5143,-5334.254606,44.2324768
4554.842535,-5317.981722,21.99739558
1613.551758,-5215.765918,61.9404065
-1849.404554,-5114.501073,-771.1229262
556.9638147,-5093.815249,-525.0128718
-1607.474548,-5052.100776,59.22267688
-705.3977949,-4987.580985,-195.2712777
-12311.01013,-4946.498607,-1368.731246
1728.025173,-4934.465302,442.7077867
-7020.13623,-4910.076401,-231.8125337
3211.424141,-4907.570489,-1265.901606
-3669.047728,-4861.924968,-7.44155848
1133.791704,-4860.649309,314.0153882
-411.3017252,-4837.306074,-147.4782454
9106.52689,-4799.295933,-357.6682165
258.2226564,-4783.405081,-303.9027671
-551.294928,-4735.743542,147.3329666
-4914.334048,-4691.319125,494.155576
-2935.010013,-4671.558781,-331.6380287
-3430.293983,-4671.488018,329.1016318
5888.159376,-4636.853572,281.3682989
-1025.952149,-4589.846069,443.7468309
417.9354433,-4557.0874,-447.0888011
-1456.766596,-4553.674657,137.7214742
283.7092488,-4484.449528,243.3546584
-2348.323052,-4455.875887,228.7201861
-1238.839253,-4440.015318,60.34303558
-1214.249807,-4432.470196,-105.8979087
-2334.728169,-4400.244366,383.2882645
-1230.268417,-4391.526851,1345.717854
-5603.350185,-4380.967677,-767.6619813
-3663.411731,-4319.74684,-9.885539864
-2547.563127,-4275.27326,249.4988346
606.7398117,-4257.848689,34.53027016
-2688.511818,-4203.908765,468.1872445
-4112.87087,-4147.471915,7.136125937
696.2773869,-4138.599846,164.8912262
-1343.784539,-4128.387172,-441.7674367
438.9177842,-3975.667554,-97.05504552
-5193.62703,-3937.893054,-786.423279
-2425.666741,-3913.724998,779.6136899
853.6424389,-3908.602251,-46.08719218
3173.39022,-3856.482051,259.1171525
2113.983333,-3856.474449,136.6721997
-2890.079965,-3818.59941,499.9613388
-101.6514326,-3805.760544,-260.2108206
4643.969631,-3798.338836,78.53757343
-181.0268841,-3782.543226,31.06459243
-410.1210003,-3726.755961,-167.6298621
-1138.880223,-3676.855678,602.0798626
685.4850932,-3669.941719,238.1574401
-486.4891839,-3650.927396,672.0070138
792.8969162,-3633.506686,-85.69506646
-2960.940195,-3624.009793,424.2489587
1416.032687,-3613.289542,385.9923747
-3367.279118,-3597.094337,-238.3960524
-4997.526803,-3591.087305,-1216.284023
2384.856189,-3569.189516,233.983241
576.936935,-3542.52563,291.3021304
-834.0709496,-3514.665698,-164.0325651
-3279.909591,-3451.474558,846.4115132
628.2731689,-3440.096448,-4.272390413
-3485.398803,-3425.091865,151.861451
395.4634881,-3417.891058,647.0164958
-3714.641017,-3407.421192,-51.02871608
-648.0265225,-3403.528206,-47.7742565
-432.9334972,-3398.397381,250.3773707
-3060.524029,-3395.479278,-425.669051
-9799.984816,-3382.060063,-516.1078608
6942.772093,-3380.218265,36.38893303
-2207.853622,-3375.239553,-233.9665423
-3398.407327,-3346.608307,-383.7518529
552.0199544,-3338.097831,-518.9468604
-2641.737596,-3336.630784,-1237.231379
368.8373364,-3277.929296,-95.59576121
191.6117048,-3253.970014,50.63694652
-162.4956507,-3241.298545,597.97902
660.9499417,-3231.348398,70.24035465
-440.4229563,-3227.734172,592.0141343
3557.972002,-3200.240675,385.8702633
-2114.792176,-3199.954041,221.1609916
-365.2775038,-3196.080131,141.577341
3552.379585,-3136.254239,51.27991423
1038.80958,-3130.070993,-116.3195477
3675.068731,-3089.218009,-14.24483286
-3775.18027,-3080.059223,85.89594468
-336.1004905,-3078.842179,-173.6988628
4067.196111,-3053.737219,0.887674453
-833.142147,-3045.454769,151.6588643
1521.022368,-3038.736054,-112.1345191
-4282.799531,-3007.769057,416.4774612
-1812.101481,-3006.327117,73.52883621
-5514.894758,-3005.569696,-280.8124015
-3578.225429,-3002.487638,-619.93126
4.186879551,-2998.629647,90.56882494
108.8441857,-2996.909913,26.17087996
-657.025644,-2988.324004,180.1720047
-3302.68989,-2981.069663,-281.4731839
4603.818887,-2973.786849,-447.7102095
-254.3357116,-2966.697706,162.3024016
1108.092536,-2963.728115,477.960866
3869.130834,-2954.965083,1143.682187
-419.976281,-2947.219588,6.754592943
-389.7110358,-2944.264179,430.6213586
-3664.5247,-2930.591102,211.4320678
2865.023066,-2929.75404,162.43491
659.9943415,-2926.244398,-38.7452322
643.7758088,-2923.194589,-215.6086831
-3161.340737,-2920.26751,494.1522171
-3435.965388,-2899.506505,192.3639157
-713.00432,-2891.936761,121.1924476
-821.0711538,-2874.773937,87.16632933
877.1131904,-2868.907976,6.283180714
876.9759377,-2850.654837,225.3024753
-480.2590242,-2845.502046,-38.28023111
-776.8345431,-2841.577302,232.3607793
-1135.11953,-2839.43843,112.663459
-325.0931048,-2818.313622,106.5072801
4727.120308,-2810.107393,-87.35005656
34.69998813,-2800.086059,62.5697357
158.308174,-2796.518483,4.888664753
2868.310662,-2785.41675,-119.362799
271.0483728,-2784.379435,-90.36006389
3555.448921,-2751.930256,163.2906429
-855.0385315,-2741.841364,-105.3140188
4772.655617,-2722.274702,-223.5616469
-290.5826303,-2719.050114,-655.493871
-1774.666629,-2708.878169,60.48488359
-26.83190528,-2697.024932,263.5081885
-3199.755925,-2696.354176,-117.6102879
-1126.952074,-2695.386949,-195.0697863
-1197.625705,-2694.973273,-376.2189881
2939.673268,-2693.714257,174.084975
-1045.044623,-2691.498894,165.4673313
-3383.108238,-2691.045803,248.4977585
-830.3362797,-2675.768774,-114.9744834
-608.4441972,-2671.601506,-893.4567997
4286.041135,-2669.901856,185.1606601
-3413.822477,-2669.089996,150.5679016
-1205.845316,-2668.167671,1.533097145
485.0838365,-2656.066287,2.356194191
-391.3585831,-2650.275137,-415.2121848
-2925.697486,-2647.282995,370.8853817
-2059.199739,-2634.707504,-18.67632216
4821.911109,-2626.808191,-105.4323537
5253.117855,-2625.980062,-156.8646388
5968.718799,-2617.599803,-1350.889772
-3216.178289,-2606.269193,106.95375
2.268898677,-2599.965706,-13.15972637
55.79950667,-2598.849663,53.54291623
-261.5240651,-2597.197783,670.2192459
119.0811828,-2592.416954,-158.7262028
2651.65654,-2579.523924,69.09356878
-843.196862,-2578.240138,967.5209776
517.034684,-2573.477531,-640.8529734
-744.0112222,-2562.572735,-56.82676767
-811.0030415,-2553.51255,-796.1612408
-792.6347447,-2549.558217,19.57194695
4401.218022,-2549.244705,90.55581364
4673.950989,-2541.97491,-242.5318765
-1933.228687,-2539.563885,351.7998268
-1066.66466,-2537.494954,48.52689015
-3581.108268,-2537.443168,-19.15056445
-2619.67956,-2528.91169,-1051.658056
1174.376375,-2525.359325,288.7912924
1630.335352,-2518.186916,-27.22676256
1603.600809,-2518.118811,295.8751373
-3778.706205,-2512.468106,-171.9431078
-1485.242343,-2502.428,-3.047344317
193.9287574,-2491.898546,53.22851974
-2686.373179,-2490.222825,-648.5286582
1629.354144,-2475.743706,-464.6484464
147.8131588,-2473.394603,-332.3708924
-1975.273909,-2458.502129,-548.143473
254.2489602,-2456.123759,-384.4665765
-844.4189495,-2452.370698,-476.028986
-22.6512633,-2448.650511,34.6207686
-2878.579915,-2443.805677,121.9651023
-3368.685008,-2426.891943,-35.50794173
6721.561494,-2425.213137,344.4826968
949.5858391,-2419.327885,-71.68903891
-1095.047536,-2416.260477,-79.19721711
-1130.709125,-2411.613742,-185.7849143
-1263.4912,-2410.68378,111.2191548
-1728.352473,-2406.143059,-526.6443845
4009.246895,-2403.2879,499.5473994
-4560.54972,-2386.225165,-319.3191354
750.6077857,-2384.977366,58.92297185
3813.610521,-2379.30798,-212.7635512
-52.73353852,-2378.672721,-484.0653448
-1482.97768,-2374.182351,-63.524534
-2358.760158,-2370.315493,-337.8993619
412.3219721,-2369.823942,-681.120454
-1410.659557,-2363.588755,-49.96812691
726.3877819,-2359.694887,-399.0010426
-1876.308821,-2357.998609,777.078999
14463.30647,-2350.316775,240.4205362
-2011.424851,-2348.428187,134.4623366
-1483.982981,-2348.336293,-19.87878146
-4296.191532,-2348.199332,1654.364597
-641.3109645,-2307.799632,-91.59752992
-256.3411546,-2296.185668,50.41419931
260.4528702,-2289.518173,111.8920786
-3172.108839,-2276.873861,-711.7105684
-1911.948028,-2275.343052,-7.261958725
1321.722821,-2270.947181,-47.24072578
-1696.265867,-2264.971946,38.52520791
-917.8383169,-2259.231937,-236.5245845
